id,plate_number,owner_id
395,X0QW7K,880827
396,AHE213,643920
397,Q19UND,575763
398,KVDJ6O,640944
399,265NID,764562
400,09M0A4,510763
401,VZ573C,730093
402,JRWP0A,891842
403,EYC8PN,725949
404,PW5Z3K,723361
405,173KRF,819335
406,VL4IPT,855771
407,E6BJS8,749993
408,VFS298,794240
409,7MKVOS,902229
410,MW6Y99,710964
411,22YJGJ,677199
412,118GBC,772479
413,2NKXAF,958256
414,D1Q2B4,541269
415,1462U3,898325
416,GZX0R5,601999
417,8TIZVB,503898
418,0H37U5,873511
419,D6R1C1,916085
420,DTM5RF,982501
421,8MJURC,828087
422,JCPGCO,503448
423,4WVOS9,546013
424,2B8T4Y,998018
425,GWJTGI,674406
426,J48DTW,954302
427,1QVESI,646358
428,N11AQ4,783573
429,EQ9LAE,943836
430,V9TJMF,552070
431,VYKY1C,721452
432,2Q4AGU,617634
433,MN6L39,758919
434,JXO9IB,714648
435,3E6YO0,798167
436,4QRHS6,663547
437,4NFD5L,928176
438,Z8DA7N,741795
439,ITAZWO,530972
440,5KQFDR,964816
441,ES9U8N,871590
442,AMKNFV,893023
443,80VFVY,784227
444,ON55RZ,675214
445,B15GI7,583818
446,HYJT2O,859922
447,4NEVUK,681654
448,KV5UKT,776926
449,G7TXHZ,588419
450,Y3232O,849641
451,NSY025,780608
452,VYHB4X,796342
453,93DZ4U,559805
454,CERLI6,803018
455,BCNRMU,965878
456,NRCVNO,539528
457,RI7EKO,766454
458,FIUQ8W,571622
459,UTV1JJ,837966
460,FBJFPD,624256
461,FH3EHH,831777
462,67D7WW,844809
463,RVAOVM,546901
464,KUZTE7,576111
465,Z34TGX,723933
466,8T2QEV,842174
467,FF8M4M,595691
468,L5NCQM,906937
469,3XJ78Z,542919
470,MZJ8PF,872974
471,X70Z7J,955948
472,JQDXCX,626296
473,FXI3PL,694054
474,9S4ABR,702912
475,FU8KRF,841006
476,TCWZ29,633034
477,CYIFO4,806062
478,5MPJSN,776412
479,TIWTNO,951332
480,BCLO9K,770427
481,ZTJRW8,953065
482,ICFA36,950779
483,U9526M,597420
484,X9HUY4,704089
485,GR6RAN,849110
486,Q7CAIM,923768
487,DF1334,823070
488,5H6Y5T,617297
489,WDTYTP,974860
490,L89ZT4,806539
491,KIXYWF,928717
492,KCZ49X,938550
493,VT70G6,728242
494,GHQ5Q9,763500
495,YXAVB1,732201
496,H8SA6B,521998
497,SQDHW4,997923
498,LN1HEY,638611
499,Z2M7TD,721780
500,E8QGY4,987563
501,Q4AYKQ,606774
502,ZE8D0C,914579
503,ZQOMS5,637684
504,M8365U,963258
505,YYI07K,578449
506,KCH2VL,856074
507,2CBCCL,856718
508,3IOMU5,965362
509,NUAD42,595458
510,G5PRNB,540904
511,BJR68L,763802
512,M8JCRF,793833
513,NA1JZN,563117
514,RB3UCW,804571
515,ILIAVT,836837
516,GQ7C2N,572894
517,CFWAMT,597519
518,7S92VV,516086
519,RLKJT2,865687
520,71KP9Q,863813
521,A98GF9,567632
522,65E3TR,828517
523,P6OS8G,545224
524,DFLZUI,689862
525,DH2AN6,665481
526,QXA9PF,719860
527,SLWS5M,753912
528,YE33A2,665578
529,A21Z7S,700516
530,FM54TE,524978
531,3RJ7DX,732760
532,Q8DPDE,801057
533,X2Z5F4,532247
534,I4NYSC,701709
535,GPQSUE,735971
536,T58L7T,894086
537,167NU4,555148
538,W65HXQ,903435
539,QZ2U85,918802
540,TSY9TM,821274
541,Y3LKWZ,830278
542,GLUGSX,669419
543,SHU9I4,633926
544,KV0V2G,663910
545,BHZFWA,783787
546,1XGWC4,501802
547,CU3FGF,935153
548,7R26LN,779245
549,MT0ICP,715144
550,26OUU1,540058
551,9BJXVH,626589
552,72SCES,538521
553,W3QD9R,719152
554,93QJYR,646186
555,XPHM0G,870866
556,2WOKL9,976144
557,U3HWYC,916714
558,9T20HK,954640
559,NYU9TN,564768
560,8Y109X,796689
561,7SKQBI,675746
562,WFMSMG,826686
563,K2AUIS,798537
564,PRSBEA,778973
565,VSVFOI,679526
566,5YDWSN,594441
567,0OWI4K,581821
568,XQDI50,972263
569,I3OVJF,773864
570,NFVY47,807963
571,NDWPBX,844212
572,K1A4JK,779115
573,GTG8TM,993814
574,XCWUZZ,992757
575,CCXBP4,980399
576,87AFUQ,513052
577,ZBTMHB,961472
578,CCGBE2,642208
579,E6OTQB,567500
580,5Y6XD3,905054
581,L0S9KM,734612
582,ZJR1LX,939434
583,XTNLK1,876166
584,NYRA9G,523247
585,NSJO5Q,641321
586,P307I0,941660
587,ZLZHRI,690169
588,96Q36S,736701
589,DFM7YT,889123
590,H6V1WY,608404
591,4HGJAQ,964249
592,X6OQKU,963690
593,VXZU6E,812825
594,6JIJXO,971854
595,4PB64X,902817
596,YY2IWH,513765
597,BNO8N4,666500
598,2O8BWY,870320
599,5SYO7W,541613
600,DFMNL6,897593
601,UK1Y82,515680
602,TFCD56,901988
603,4MDZ3E,561765
604,5XWYRR,800733
605,JYB5GZ,822147
606,41O445,672532
607,A15Z1Y,937209
608,42SXHD,772328
609,NCQ9AB,628048
610,FG84WF,910839
611,9GWAMP,710365
612,7GHKWS,825648
613,K2PFXA,896336
614,0KDS5U,652284
615,L9X17L,945389
616,YCM6RN,526827
617,HCDURF,589945
618,ITEJP2,681546
619,JVU12D,941380
620,G3YL70,802556
621,73SW6T,993962
622,QJ8PPG,714689
623,Z0YPID,607270
624,CHB4BO,721134
625,7VJN1M,913026
626,WBHY4G,563225
627,VGHID9,998997
628,GOQ84A,607292
629,3L8GMG,768000
630,45REBG,758904
631,0GG9LM,884614
632,GBATJU,583842
633,FAWLWM,583654
634,FGLK20,508132
635,OP2R2Y,572429
636,87VU8I,609495
637,H7TGGF,876986
638,WCIXY0,922865
639,8GXK6N,587463
640,SDZVVB,785225
641,GJQJHX,821589
642,Q87YL6,834212
643,E8FKC1,845647
644,TBZGUH,504202
645,A58WGY,915219
646,HAA80I,867407
647,79GWRK,755243
648,NBK88J,967385
649,9BCPCH,661106
650,UNV4LK,638768
651,NMLCDD,838460
652,GWTVYZ,988877
653,RMMU9P,672292
654,7WHMCQ,993485
655,UF3C2R,991298
656,OAUUV2,536220
657,UGZV9W,683593
658,PZLPOU,608342
659,B3I1UI,578902
660,8IAM17,559546
661,WV4NTK,951535
662,OU2H5R,958056
663,24800I,538950
664,JC8NZ0,690443
665,I76LZM,852633
666,WEL58C,951556
667,U3S8EK,914884
668,7NOTKS,842894
669,YI7XG3,776161
670,S615VG,882151
671,SOHRC9,762131
672,XKZ8PB,782158
673,J21L17,667603
674,B10PTD,953607
675,B1G955,922654
676,CGYG3V,915635
677,XO5HLI,738173
678,O03AV9,808677
679,38N58B,617070
680,QIAIU5,953319
681,T92ORP,947760
682,20QPZS,997236
683,ON73TV,566945
684,LM5G9O,804340
685,2AIU4O,514237
686,Z2MTYY,563451
687,5D092V,705060
688,R7RHY6,704657
689,MCTZ5G,547632
690,SUW4UZ,949462
691,D84AN9,711942
692,C3D453,836558
693,QXH1P4,904182
694,32427P,907332
695,IYDTUI,542312
696,KITKS5,690390
697,MR06M5,950342
698,ORG3CR,718385
699,M8YIV8,619686
700,Q1HTGF,928274
701,AVK753,964262
702,KLTW16,925494
703,7LH1OV,560961
704,HJ5ATY,553680
705,IGWEUY,904717
706,AWK2R9,968820
707,XTFBLA,850709
708,5YLAWI,667334
709,A6DAKG,910652
710,TEES72,823840
711,UTA68Z,868458
712,OLAU61,603215
713,2SBS3S,855599
714,LWUF8U,992441
715,T6F3K6,609372
716,JLPUUS,786534
717,NZ13RL,920805
718,4GIRY5,966735
719,CB1MYZ,716420
720,Y5TOTE,775663
721,SX773M,748252
722,IMCUZK,911073
723,94VSUO,970588
724,2UQ7W9,607265
725,ZGNTPN,602879
726,JP7LMC,537035
727,TN7U5Q,751852
728,JIOJT0,577322
729,I5CRK9,581990
730,A91KX4,633309
731,OKFMNX,925206
732,4JQT97,981248
733,OAM7HF,592503
734,A6C4XM,652015
735,LZS4MH,527514
736,60IZ6O,774035
737,5JGCTL,517553
738,DSBRF7,837739
739,53SQBD,721330
740,XTNJ3J,731124
741,AJCXGQ,941620
742,5EQ7FU,559222
743,7QXF51,776414
744,Q4F3F5,528884
745,M485N5,885597
746,Q7PV9I,863860
747,GAPZA3,644057
748,WRGEGR,977285
749,VNMGHV,967364
750,35A4SA,597185
751,STAC9Y,940217
752,ASNT6L,948491
753,UB42VM,851864
754,AW0FYB,696606
755,ZPFA3E,911320
756,TAGRLR,885120
757,1ZC5U9,531241
758,WBQSA5,588259
759,O9S5O1,623111
760,SFS3JP,913565
761,605YBF,783679
762,X5PBR5,770452
763,L9E2QC,549936
764,SCM03H,753552
765,XTPMMK,696495
766,9EA2QH,865351
767,SB4HGW,953605
768,9CNRXH,919945
769,Y4IEXG,626398
770,L30HML,579469
771,TPEAWS,754801
772,TK9IHC,662510
773,8VITJZ,827928
774,38K2PQ,678754
775,154OFY,931177
776,9E3QJE,920198
777,IFOFRO,506439
778,75VC2I,885317
779,P3CUA2,747701
780,I78WB6,889720
781,WVAX90,597423
782,MGAH6P,505194
783,4LPIR5,931571
784,HU8Q65,662511
785,300GFT,562163
786,4EOVPB,658262
787,T1IXUZ,649592
788,N4YL5Y,728901
789,WA1O4E,686306
790,SASDE6,877997
791,0884GN,761164
792,A254S9,572824
793,14CXZP,928070
794,XFGMPB,698297
795,BPIKUL,798510
796,VEB96Z,945313
797,4TYGA2,826390
798,B47ILV,807681
799,BXQB3Q,530392
800,ZLVIO2,836794
801,0NB32E,797012
802,FVK6TI,974081
803,LCH84V,643263
804,QNEEJ3,589595
805,TDNTTL,551487
806,UPX0OY,583220
807,KY22R2,817569
808,LFAJND,864294
809,CZL2QW,950906
810,CPS8GZ,858098
811,VIRCQH,948137
812,LCXPA2,782056
813,1KS8L3,718036
814,XD42NY,852451
815,XUTTUJ,604229
816,V09TRY,914728
817,L40YKT,883538
818,KCT2V3,892884
819,UTLOMY,512893
820,BB89T7,812855
821,AJJSX2,842854
822,X8613V,948701
823,UVIP8J,680803
824,UQQZJY,860290
825,KLJZZO,839230
826,SXP0D9,714241
827,0YE1YR,638008
828,L23P60,523471
829,Q2CU5X,706321
830,GSVUOK,687706
831,VK0B1P,879603
832,JD0IKW,950585
833,VQB04Q,775616
834,IBCIOO,847639
835,P32Y7P,829089
836,0959YQ,774184
837,DVUAJ3,909921
838,SMQNMF,868667
839,0WHQG9,810713
840,0EM4JI,951474
841,AQ1ZW7,667579
842,OCDC85,581503
843,S0H2B1,911157
844,6KVCHC,622073
845,YL11ZL,833796
846,SMDXGH,982887
847,HQNFFR,909087
848,IISKQF,961233
849,D724AI,793245
850,RNMQ6G,924235
851,N6H4NX,941306
852,ZB6ZPC,955044
853,G2OPZU,966845
854,8V1IID,532957
855,P6V982,789140
856,HK5RJX,547329
857,6M2O1J,961065
858,N6NAZQ,741781
859,I24GYN,523076
860,ZVPBC0,912018
861,WAJQ6E,625874
862,51032C,667072
863,10LP0I,768650
864,8CH0TK,800386
865,VPW4EU,957912
866,9KWPMP,869516
867,OJN3PE,696447
868,IQIHZO,934962
869,Y4E4LM,951033
870,6FZT6P,975961
871,7BQRTP,827095
872,KKPL8S,526544
873,3D2QMF,915952
874,Y9OLYE,792577
875,CPTCTR,617137
876,HBKFJ7,890234
877,SLD8T4,737770
878,ZIOAK3,793765
879,DKZHVQ,792824
880,KMGPFP,837595
881,9T5JZR,600349
882,LSV3K9,883353
883,KTYMR5,691399
884,BWRXQB,621699
885,YPEJ73,855003
886,PF0LMR,953326
887,571WZR,910451
888,72BQUP,966061
889,9U7DM0,727618
890,EF7DL8,881231
891,TGZIE5,933557
892,IYDW7E,971478
893,1JWT9F,562515
894,PMB9MA,743979
895,9RLFMW,650186
896,59V89O,618340
897,RLVK2I,610190
898,P87ZVF,569176
899,97Y228,868872
900,BQSKV0,922476
901,FTHMZC,747793
902,MLLVD3,820507
903,TG0IG5,927601
904,5MNYWI,876432
905,YSTGHL,799447
906,LE1XQC,711759
907,UOPXOL,862863
908,C2KLPC,662321
909,KQL1NO,639740
910,SDH1IL,642179
911,SEVVAZ,878286
912,92NACX,733193
913,DGGL2O,843553
914,64GS7W,980965
915,IVPWEU,557251
916,HDPA1U,713960
917,B8AEXM,847216
918,B9K0M4,751394
919,J2X0O9,993522
920,J5RHPJ,925689
921,NBG6SM,948208
922,22WGVV,906928
923,FC59K6,583835
924,0DL8S0,504283
925,TZII4X,964075
926,6UAYWQ,601883
927,977OB9,879713
928,H94NON,836634
929,7LHMOO,748099
930,3EX013,842744
931,LZH9D8,988473
932,D5Z4XC,769521
933,S02KUV,800300
934,MC7T8U,652245
935,U692TU,800868
936,QDA1Y9,681316
937,KEVF82,826967
938,20YQ9J,982749
939,R0BZG1,887777
940,P55E4Y,985454
941,MAUMRY,513955
942,HXVTA9,592231
943,698BI0,848583
944,URFK2J,744302
945,FCEYAC,982787
946,IWE17G,677634
947,5IAOB3,610688
948,9V56S1,528821
949,940POA,544050
950,150414,911744
951,Y3V9S1,753089
952,EWOAYN,629562
953,MRDDLL,638854
954,6Z8MXH,970921
955,KC393D,639120
956,P777B4,680746
957,ISZFBF,706525
958,NKXP83,781341
959,ZEQG52,595159
960,ERH4XU,685219
961,UR9SWU,646797
962,WY2KPO,978675
963,4QHCZW,515519
964,WFCUT1,893537
965,QH4O3L,623163
966,54MUX9,558873
967,3G189P,915148
968,LW62FM,882455
969,1S74MV,660612
970,EC0XGC,858445
971,QFQAXB,965132
972,0TAJAN,937595
973,DJHAXH,822688
974,FUJT7N,892992
975,KHAEM7,953779
976,S79ABW,723152
977,8CN9R0,631028
978,UTJQY8,988470
979,0C8JCJ,842690
980,5PJ2VA,661792
981,DLI8XA,830370
982,NI1BE1,678889
983,UQ0YT8,802472
984,UOG3UB,871668
985,XUVWIY,680846
986,X2HZSJ,755451
987,W3JAUE,826569
988,AG2X2Y,627740
989,G9PH5M,855039
990,RXQMHM,767710
991,3GFQ15,638458
992,TZIG7Y,898844
993,EFMBWT,553809
994,0RG41K,929534
995,Q2AOVX,649251
996,NLG3ME,536275
997,38ORQG,936030
998,5AP7PV,960548
999,F7NWNE,568292
1000,8ATGSO,885778
1001,ULXKHO,954290
1002,TGNRW1,990991
1003,2DHEIZ,930904
1004,RZUKDT,868331
1005,7XVQNE,981967
1006,YHZE0T,532131
1007,BY38RO,839328
1008,KRL4E6,519216
1009,UA2CKW,702144
1010,H9WHTY,758541
1011,DSN63L,710194
1012,NWGY28,714496
1013,QT8EBB,587964
1014,Y9DC2V,551015
1015,PRN085,519602
1016,WOIDBZ,870652
1017,7GA0BT,635565
1018,ARB8EA,863454
1019,VWE7JC,832784
1020,U9Q1QC,594610
1021,SIP3SY,517416
1022,VQZSUV,548328
1023,FG4RL2,566081
1024,TJYGLS,990462
1025,ZGS9OV,721750
1026,EHBM6P,702387
1027,UECBN8,828611
1028,QVS5L7,950288
1029,46XIXL,565396
1030,K5TTXB,997289
1031,2Y76NL,949870
1032,TZT348,837586
1033,OH4TS7,590825
1034,9XWPKF,597217
1035,CZLCJG,603788
1036,HX5Z48,568540
1037,VQDPD3,530012
1038,YLUFDE,702006
1039,X2BXN5,590592
1040,TVKLLC,615066
1041,WW34O3,553048
1042,4YQXB8,809073
1043,BL4Q3M,813170
1044,PLYKQ0,868130
1045,77XRDM,576367
1046,NOY9R1,699001
1047,SH0ROW,619223
1048,03QF4C,548792
1049,X4P0MV,608187
1050,DSNGEQ,908016
1051,IPWTGI,669692
1052,YN47G4,836316
1053,VOD0MC,862693
1054,G36ELI,979531
1055,T1OQK9,974802
1056,NEUQR2,880128
1057,GBETJT,748567
1058,M84NOX,736879
1059,WLGQUL,863990
1060,6MBNUY,846908
1061,61BMP1,678964
1062,CQS5A8,733726
1063,X5YQ34,598892
1064,MGO7RF,572726
1065,OG3QCH,958665
1066,U99W2F,842825
1067,RGA1R0,698511
1068,X9MO7D,833358
1069,FOFR2Q,948208
1070,3WF1NI,540698
1071,NJKI1Y,508398
1072,S1G1OY,912195
1073,AL7O0K,916358
1074,7J56SS,640545
1075,16M13L,832787
1076,KQMP8Z,505415
1077,9N1DOB,609008
1078,P4I5W4,831315
1079,NQOXNT,921232
1080,SCLX1B,759770
1081,43FPX1,701736
1082,ZLFTNU,829097
1083,KKIQKP,602866
1084,37ZK3L,891030
1085,P6GOA2,554389
1086,C45T7O,981896
1087,DMSLBL,542360
1088,THN2RB,919104
1089,ZO7V8V,605695
1090,RLLWPZ,995774
1091,1G31AW,886536
1092,EMIHV4,913865
1093,PU961H,528742
1094,ZN680C,867391
1095,IJZ9VO,750961
1096,GBXBR6,768926
1097,IZYCDA,681707
1098,3X606V,702686
1099,0C8ECS,788255
1100,C2AGXT,879685
1101,OAEY2U,506683
1102,OKGV1G,856575
1103,I6HQ35,982043
1104,V1786T,928759
1105,M48KUS,850190
1106,6WJ30M,501108
1107,1DU6OA,589745
1108,J9OIX4,975606
1109,CRADI1,758058
1110,D7RIVP,590079
1111,08NJJ0,711558
1112,U7UOQS,853193
1113,86P3RE,806655
1114,OL9Z8E,700888
1115,9OT3E7,808130
1116,T0KS7R,913910
1117,NVMY69,582013
1118,JK711A,863694
1119,X2W233,724663
1120,GJ36M4,990498
1121,OMW337,943707
1122,UPQEXW,769132
1123,CDVXSX,982391
1124,IJUBOS,508506
1125,C927AM,850298
1126,C8HHJM,515761
1127,Y8U81C,573669
1128,7UZIDT,646343
1129,30T8S1,957450
1130,B0CRY1,714174
1131,LE0UNO,701853
1132,TXN956,870015
1133,OIHXW5,690600
1134,R2D7OB,906179
1135,1AUS4L,686503
1136,BINCB7,609039
1137,6JVC9W,612700
1138,G2Y01J,668969
1139,WXOVFY,646938
1140,Q2USHI,545870
1141,M11QYH,801497
1142,0LVPBN,816227
1143,APZS2J,701376
1144,MOUS0N,711758
1145,Z51BKE,733300
1146,JXQ0SE,514397
1147,N3S2BF,907378
1148,ND6HFC,515399
1149,EQP0AZ,786207
1150,4EPL8K,584562
1151,VTJVLA,691508
1152,08HL5E,640964
1153,OKQVGF,697679
1154,TP015Q,525903
1155,A6Q8YN,525683
1156,M0MTO6,766706
1157,JBBUV4,910529
1158,7SB2DB,909520
1159,KZ31GT,942979
1160,WGC9MO,925476
1161,GFS1HU,779603
1162,GTTTB6,623645
1163,VUZ9BR,857397
1164,4Y04RB,648953
1165,OY0Z5V,625356
1166,A7C5IQ,592492
1167,YMK6OF,734180
1168,P5M32O,766955
